Course and Section,Meeting Pattern,,,
AR4100 Drawing (AR4100-001),C13L5,,,
AR4110 Painting (AR4110-001),D135L,,,
AR4200 Digital and Darkroom Photography (AR4200-001),H24,,,
AR4500 Advanced Drawing (AR4500-001),M123,,,
AR4510 Advanced Painting (AR4510-001),M123,,,
AR4520 Advanced Studio Art (AR4520-001),M123,,,
AS4051 American Studies I (AS4051-001),A12L34,,,
AS4051 American Studies I (AS4051-002),A12L34,,,
AS4051 American Studies I (AS4051-003),A12L34,,,
AS4051 American Studies I (AS4051-004),A12L34,,,
AS4051 American Studies I (AS4051-005),B124L5,,,
AS4051 American Studies I (AS4051-006),B124L5,,,
AS4051 American Studies I (AS4051-007),B124L5,,,
AS4051 American Studies I (AS4051-008),B124L5,,,
AS4051 American Studies I (AS4051-009),C13L45,,,
AS4051 American Studies I (AS4051-010),C13L45,,,
AS4051 American Studies I (AS4051-011),C13L45,,,
AS4051 American Studies I (AS4051-012),C13L45,,,
AS4051 American Studies I (AS4051-013),D1235L,,,
AS4051 American Studies I (AS4051-014),D1235L,,,
AS4051 American Studies I (AS4051-015),E12L35,,,
AS4051 American Studies I (AS4051-016),E12L35,,,
AS4051 American Studies I (AS4051-017),E12L35,,,
AS4051 American Studies I (AS4051-018),E12L35,,,
AS4051 American Studies I (AS4051-019),F134L5,,,
AS4051 American Studies I (AS4051-020),F134L5,,,
AS4051 American Studies I (AS4051-021),F134L5,,,
AS4051 American Studies I (AS4051-022),G13L5L,,,
AS4051W Writing and American Studies I (AS4051W-001),A12L34,,, 
AS4051W Writing and American Studies I (AS4051W-002),A12L34,,,
AS4051W Writing and American Studies I (AS4051W-003),B124L5,,,
AS4051W Writing and American Studies I (AS4051W-004),C13L45,,,
AS4051W Writing and American Studies I (AS4051W-005),C13L45,,,
AS4051W Writing and American Studies I (AS4051W-006),F134L5,,,
BI3580 Classical Genetics (*M*) (BI3580-001),C13L45,,,
BI3640 Developmental Biology (*R*) (BI3640-001),A12L34,,,
BI3640 Developmental Biology (*R*) (BI3640-002),E12L35,,,
BI4010 Anatomy & Physiology (BI4010-001),B124L5,,,
BI4010 Anatomy & Physiology (BI4010-002),F134L5,,,
BI4010 Anatomy & Physiology (BI4010-003),D1235L,,,
BI4020 Ecology (*R*) (BI4020-001),C13L45,,,
BI4020 Ecology (*R*) (BI4020-002),B124L5,,,
BI4040 Climate Change Biology (*M*) (BI4040-001),A12L34,,,
BI4040 Climate Change Biology (*M*) (BI4040-002),E12L35,,,
BI4110 Molecular Genetics (*R*) (BI4110-001),B124L5,,,
BI4110 Molecular Genetics (*R*) (BI4110-002),F134L5,,,
BI4140 Molecular & Cellular Biol (BI4140-001),C13L45,,,
BI4140 Molecular & Cellular Biol (BI4140-002),E12L35,,,
BI4210 AP Biology (I) (*R*) (BI4210-001),A12L34,,,
BI4210 AP Biology (I) (*R*) (BI4210-002),E12L35,,,
BI4922 Research in Biology III (*R*) (BI4922-001),F134L5G13L5L,,,
BI4922 Research in Biology III (*R*) (BI4922-002),F134L5G13L5L,,,
CH3500 Chemistry Core - Atoms & Molecules (CH3500-001),D1235L,,,
CH3500 Chemistry Core - Atoms & Molecules (CH3500-002),B124L5,,,
CH3500 Chemistry Core - Atoms & Molecules (CH3500-003),F134L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-001),C13L45,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-002),B124L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-003),D1235L,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-004),B124L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-005),F134L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-006),D1235L,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-007),F134L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-008),A12L34,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-009),E12L35,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-010),C13L45,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-011),E12L35,,,
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-001),A12L34,,,
CH4130 Organic Chemistry (CH4130-001),C13L45,,,
CH4130 Organic Chemistry (CH4130-002),B124L5,,,
CH4280 Materials Chemistry (*R*) (CH4280-001),A12L34,,,
CH4911 Research Computational Sci II (CH4911-001),G13L5L,,,
CH4922 Research Chem III (*R*) (CH4922-001),F134L5G13L5L,,,
CH4922 Research Chem III (*R*) (CH4922-002),F134L5G13L5L,,,
CN3051 Journeys into Chinese I (CN3051-001),C1345,,,
CN3051 Journeys into Chinese I (CN3051-002),D1235,,,
CN3651 Navigating in Chinese + Global Understanding I (CN3651-001),C13L45,,,
CN3651 Navigating in Chinese + Global Understanding I (CN3651-002),D1235L,,,
CN4051 Advanced Chinese I (CN4051-001),A1234,,,
CN4301 Topics in Chinese I (CN4301-001),B1245,,,
