Course Title,Meeting Pattern
AR4100 Drawing (AR4100-002),D135L
AR4110 Painting (AR4110-002),E12L5
AR4200 Digital and Darkroom Photography (AR4200-002),H24
AR4320 Art and Technology (AR4320-001),G3L5L
AS4052 American Studies II (AS4052-001),A12L34
AS4052 American Studies II (AS4052-002),A12L34
AS4052 American Studies II (AS4052-003),A12L34
AS4052 American Studies II (AS4052-004),A12L34
AS4052 American Studies II (AS4052-005),B124L5
AS4052 American Studies II (AS4052-006),B124L5
AS4052 American Studies II (AS4052-007),B124L5
AS4052 American Studies II (AS4052-008),B124L5
AS4052 American Studies II (AS4052-009),C13L45
AS4052 American Studies II (AS4052-010),C13L45
AS4052 American Studies II (AS4052-011),C13L45
AS4052 American Studies II (AS4052-012),C13L45
AS4052 American Studies II (AS4052-013),D1235L
AS4052 American Studies II (AS4052-014),D1235L
AS4052 American Studies II (AS4052-015),E12L35
AS4052 American Studies II (AS4052-016),E12L35
AS4052 American Studies II (AS4052-017),E12L35
AS4052 American Studies II (AS4052-018),E12L35
AS4052 American Studies II (AS4052-019),F134L5
AS4052 American Studies II (AS4052-020),F134L5
AS4052 American Studies II (AS4052-021),F134L5
AS4052 American Studies II (AS4052-022),G13L5L
AS4052W Writing and American Studies II (AS4052W-001),A12L34
AS4052W Writing and American Studies II (AS4052W-002),A12L34
AS4052W Writing and American Studies II (AS4052W-003),B124L5
AS4052W Writing and American Studies II (AS4052W-004),C13L45
AS4052W Writing and American Studies II (AS4052W-005),C13L45
AS4052W Writing and American Studies II (AS4052W-006),F134L5
BI3560 Sports Kinesiology (BI3560-001),A12L34
BI3580 Classical Genetics (*M*) (BI3580-002),C13L45
BI3700 Evolution (BI3700-001),A12L34
BI3700 Evolution (BI3700-002),E12L35
BI4010 Anatomy & Physiology (BI4010-004),F134L5
BI4010 Anatomy & Physiology (BI4010-005),D1235L
BI4030 Environmental Science (*R*) (BI4030-001),B124L5
BI4030 Environmental Science (*R*) (BI4030-002),F134L5
BI4110 Molecular Genetics (*R*) (BI4110-003),F134L5
BI4110 Molecular Genetics (*R*) (BI4110-004),D1235L
BI4130 Aquatic Ecology (*R*) (BI4130-001),D1235L
BI4140 Molecular & Cellular Biol (BI4140-003),A12L34
BI4140 Molecular & Cellular Biol (BI4140-004),E12L35
BI4160 Neuroscience (*R*) (BI4160-001),A12L34
BI4160 Neuroscience (*R*) (BI4160-002),E12L35
BI4200 Immunology (*R*) (BI4200-001),G13L5L
BI4211 AP Biology (II) (*R*) (BI4211-001),A12L34
BI4211 AP Biology (II) (*R*) (BI4211-002),E12L35
CH3500 Chemistry Core - Atoms & Molecules (CH3500-004),A12L34
CH3500 Chemistry Core - Atoms & Molecules (CH3500-005),E12L35
CH4000 Chemistry Core - Reactions & Energy (CH4000-001),B124L5
CH4000 Chemistry Core - Reactions & Energy (CH4000-002),F134L5
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-002),B124L5
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-003),D1235L
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-004),B124L5
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-005),F134L5
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-006),F134L5
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-007),A12L34
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-008),E12L35
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-009),C13L45
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-010),D1235L
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-011),C13L45
CH4130 Organic Chemistry (CH4130-003),B124L5
CH4130 Organic Chemistry (CH4130-004),F134L5
CH4140 Environmental Chem (*R*) (CH4140-001),A12L34
CH4270 Analytical Chemistry (CH4270-001),C13L45
CH4290 Biochemistry (*R*) (CH4290-002),D1235L
CN3052 Journeys into Chinese II (CN3052-001),C1345
CN3052 Journeys into Chinese II (CN3052-002),D1235
CN3652 Navigating in Chinese + Global Understanding II (CN3652-001),C13L45
CN3652 Navigating in Chinese + Global Understanding II (CN3652-002),D1235L
CN4052 Advanced Chinese II (CN4052-001),A1234
CN4060 Explorations in Chinese for Heritage Speakers (CN4060-001),A1234
CN4652 Readings in Chinese with Topics II (CN4652-001),B1245
CN4852 AP Chinese Language and Culture II (CN4852-001),B1245
CS4020 Web Development (CS4020-004),C13L45
CS4020 Web Development (CS4020-005),D1235L
CS4200/MA4200 Cryptography (CS4200/MA4200-001),E12L35
CS4200/MA4200 Cryptography (CS4200/MA4200-002),D1235L
CS4240 Procedural and Object-Oriented Programming (CS4240-004),B124L5
