Term,Section,Course Number and Title,Meeting Pattern
Spring,2,AR4100 Drawing,C13L5
Spring,3,AR4100 Drawing,E13L5
Spring,2,AR4110 Painting,D135L
Spring,2,AR4310 Digital Photography,H24
Spring,2,AR4520 Advanced Studio Art,M123
Spring,1,AS4052 American Studies II,A12L45
Spring,2,AS4052 American Studies II,A12L45
Spring,3,AS4052 American Studies II,C13L45
Spring,4,AS4052 American Studies II,C13L45
Spring,5,AS4052 American Studies II,G12L34
Spring,6,AS4052 American Studies II,B134L5
Spring,7,AS4052 American Studies II,C13L45
Spring,8,AS4052 American Studies II,E123L5
Spring,9,AS4052 American Studies II,E1235L
Spring,10,AS4052 American Studies II,D1235L
Spring,11,AS4052 American Studies II,D1235L
Spring,12,AS4052 American Studies II,F1234L
Spring,13,AS4052 American Studies II,F1234L
Spring,14,AS4052 American Studies II,B134L5
Spring,15,AS4052 American Studies II,E123L5
Spring,16,AS4052 American Studies II,A12L45
Spring,17,AS4052 American Studies II,G12L34
Spring,18,AS4052 American Studies II,E123L5
Spring,19,AS4052 American Studies II,B134L5
Spring,20,AS4052 American Studies II,D1235L
Spring,21,AS4052 American Studies II,F1234L
Spring,22,AS4052 American Studies II,D1235L
Spring,23,AS4052 American Studies II,E1235L
Spring,24,AS4052 American Studies II,C13L45
Spring,25,AS4052 American Studies II,G12L34
Spring ,1,BI3560 Sports Kinesiology ,A12L45
Spring ,1,BI3580 Classical Genetics (*M*),C13L45
Spring ,2,BI3700 Evolution,G12L34
Spring ,1,BI4010 Anatomy & Physiology,B134L5
Spring ,2,BI4010 Anatomy & Physiology,F1234L
Spring ,1,BI4030 Environmental Science (*R*),D1235L
Spring ,1,BI4110 Molecular Genetics (*R*),B134L5
Spring ,1,BI4110 Molecular Genetics (*R*),A12L45
Spring ,2,BI4110 Molecular Genetics (*R*),F1234L
Spring ,1,BI4140 Molecular & Cellular Biol,B134L5
Spring ,2,BI4140 Molecular & Cellular Biol,F1234L
Spring ,2,BI4140 Molecular & Cellular Biol,G12L34
Spring ,1,BI4160 Neuroscience (*R*),A12L45
Spring ,2,BI4160 Neuroscience (*R*),C13L45
Spring ,1,BI4200 Immunology (*R*),C13L45
Spring ,2,BI4200 Immunology (*R*),E123L5
Spring ,1,BI4211 AP Biology (II) (*R*),A12L45
Spring ,2,BI4211 AP Biology (II) (*R*),C13L45
Spring ,1,BI4921 Research in Biology II (*R*),F1234LG12L34
Spring ,2,BI4921 Research in Biology II (*R*),F1234LG12L34
Spring,1,CH3500 Chemistry Core - Atoms & Molecules,A12L45
Spring,2,CH3500 Chemistry Core - Atoms & Molecules,G12L34
Spring,1,CH4000 Chemistry Core - Reactions & Energy,B134L5
Spring,2,CH4000 Chemistry Core - Reactions & Energy,F1234L
Spring,1,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),B134L5
Spring,2,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),F1234L
Spring,1,CH4120 AP Chemistry (II): Kinetics & Energy,A12L45
Spring,2,CH4120 AP Chemistry (II): Kinetics & Energy,G12L34
Spring,3,CH4120 AP Chemistry (II): Kinetics & Energy,C13L45
Spring,4,CH4120 AP Chemistry (II): Kinetics & Energy,E123L5
Spring,5,CH4120 AP Chemistry (II): Kinetics & Energy,B134L5
Spring,6,CH4120 AP Chemistry (II): Kinetics & Energy,F1234L
Spring,7,CH4120 AP Chemistry (II): Kinetics & Energy,D1235L
Spring,8,CH4120 AP Chemistry (II): Kinetics & Energy,C13L45
Spring,9,CH4120 AP Chemistry (II): Kinetics & Energy,E123L5
Spring,1,CH4130 Organic Chemistry,B134L5
Spring,2,CH4130 Organic Chemistry,F1234L
Spring,1,CH4280 Materials Chemistry (*R*),C13L45
Spring,1,CH4290 Biochemistry (*R*),D1235L
Spring,1,CH4910 Research Computational Sci I,G12L34
Spring,1,CH4921 Research Chem II (*R*),F1234LG12L34
Spring,2,CH4921 Research Chem II (*R*),F1234LG12L34
Spring,1,CN3052 Journeys into Chinese II,C1345
Spring,2,CN3052 Journeys into Chinese II,D1235
Spring,1,CN3652 Navigating in Chinese + Global Understanding II,C13L45
Spring,2,CN3652 Navigating in Chinese + Global Understanding II,D1235L
Spring,1,CN4052 Advanced Chinese II,A1245
Spring,1,CN4652 Readings in Chinese with Topics,B1345
Spring,1,CN4852 AP Chinese Language and Culture II,B1345
Spring,1,CN4952 Advanced Readings in Chinese with Topics II,B1345
Spring,3,CS4020 Web Development,C13L45
Spring,1,CS4120 Computing for Everyone,D1235L
Spring,1,CS4200/MA4200 Cryptography,B134L5
Spring,2,CS4200/MA4200 Cryptography,C13L45
Spring,3,CS4240 Procedural and Object-Oriented Programming,B134L5
Spring,4,CS4240 Procedural and Object-Oriented Programming,F1234L
Spring,1,CS4280 Advanced Java,E13L5L
Spring,1,CS4320 Machine Learning,E13L5L
